ID,Objekt,Etage,Verortung,Parkplatz,Parkplatz,Position,Farbe,Symbole,Typografie,Inhalt,Elektrisch,Beschädigt,Foto,Notizen
144,Steckdose,5,Vor,,,ceiling,grey,true,true,"TEP",true,true,http://parkhaus.digitalisat.com/media/pages/objects/5/101eecd6f2-1707499568/2024-02-09-18.25.56.png,""
145,Steckdose,5,Vor,,,ceiling,grey,true,true,"TEP",true,true,http://parkhaus.digitalisat.com/media/pages/objects/5/b76362a1c9-1707499524/2024-02-09-18.25.09.png,""
146,Steckdose,5,Gegenüber von,,,wall,grey,true,true,"TEP",true,true,http://parkhaus.digitalisat.com/media/pages/objects/5/3f5018a8f3-1706891489/img_1160.jpg,""
147,Steckdose,5,Gegenüber von,,,wall,grey,true,true,"TEP",true,true,http://parkhaus.digitalisat.com/media/pages/objects/5/dae4ff4dae-1706624511/img_1156-3.jpg,""
148,Alarm,6,Gegenüber von,,,wall,red,true,true,"5006/01",true,false,http://parkhaus.digitalisat.com/media/pages/objects/6/ddac17b25b-1706622822/img_7231.jpg,""
149,Alarm,6,Gegenüber von,,,wall,red,true,true,"5006/02",true,false,http://parkhaus.digitalisat.com/media/pages/objects/6/3fb5186c10-1706624235/img_7197.jpg,""
150,Beleuchtung,6,Zwischen,,11,ceiling,,false,false,"",true,false,,""
151,Beleuchtung,6,Vor,,,ceiling,,false,false,"",true,false,,""
152,Beleuchtung,6,Vor,,,ceiling,,false,false,"",true,false,,""
153,Beleuchtung,6,Zwischen,,7,ceiling,,false,false,"",true,false,,""
154,Beleuchtung,6,Zwischen,,5,ceiling,,false,false,"",true,false,,""
155,Beleuchtung,6,Zwischen,,4,ceiling,,false,false,"",true,false,,""
156,Beleuchtung,6,Zwischen,,1,ceiling,,false,false,"",true,false,,""
157,Beleuchtung,6,Vor,,,ceiling,,false,false,"",true,false,,""
158,Beleuchtung,6,Vor,,,ceiling,,false,false,"",true,false,,""
159,Beleuchtung,6,Vor,,,ceiling,,false,false,"",true,false,,""
160,Beleuchtung,6,Gegenüber von,,,ceiling,,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/6/49caf5fc60-1706624503/img_7199.jpg,""
161,Beleuchtung,6,Gegenüber von,,,ceiling,,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/6/51c6d9ca41-1706624431/img_7237.jpg,""
162,Bewegungsmelder,6,Neben,,,column,grey,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/6/ac4ba043e1-1707583714/img_7417.jpg,""
163,Feuerlöscher,6,Gegenüber von,,,column,red,true,true,"GLORIA Feuerlöscher",false,false,http://parkhaus.digitalisat.com/media/pages/objects/6/896d0d14ac-1706624319/img_7196.jpg,""
